MSOACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E02001182,"134,244","135,323","169,655","181,106","198,195","205,233","209,538","225,217","228,404","216,941","203,863","192,939","173,877"
E02001183,"128,885","134,421","137,091","142,532","141,952","141,876","146,390","146,852","159,890","158,651","160,005","164,953","161,886"
E02001184,"181,831","170,898","178,561","177,649","178,918","199,388","203,963","210,678","200,963","191,861","188,200","184,713","185,306"
E02001185,"161,636","162,457","161,436","165,472","167,662","170,195","172,985","173,154","171,301","176,589","183,790","188,780","200,388"
E02001186,"157,456","161,450","165,200","169,207","169,886","171,839","173,534","175,675","179,016","183,642","187,013","189,653","202,859"
E02001429,"161,784","162,053","160,154","159,226","163,762","162,662","166,921","175,757","174,666","178,643","182,318","183,658","186,571"
E02001430,"209,243","206,073","207,614","214,917","214,157","222,681","223,896","227,211","233,228","235,912","232,179","233,303","236,844"
E02001431,"191,463","192,306","197,413","203,245","209,427","204,491","202,974","207,459","221,564","229,016","224,262","216,949","207,748"
E02001432,"133,495","128,352","131,643","136,573","140,822","137,154","135,108","142,150","138,368","148,492","149,160","148,277","155,141"
E02001433,"157,060","155,118","151,532","153,229","158,193","159,998","169,021","174,910","177,536","176,259","175,007","172,821","178,219"
E02001434,"174,578","177,654","172,485","174,590","179,148","182,431","189,744","194,150","203,681","204,333","205,602","208,964","200,078"
E02001435,"158,562","167,407","177,803","185,544","180,316","183,185","178,860","179,566","193,036","199,803","200,460","199,324","196,769"
E02001436,"183,701","181,718","182,608","188,632","191,776","194,551","192,740","192,372","194,980","205,202","220,917","223,786","226,426"
E02001437,"293,607","305,163","313,151","321,085","319,424","314,110","298,022","321,701","347,999","348,099","343,964","334,562","344,399"
E02001438,"211,624","212,890","221,895","221,646","221,323","221,452","213,023","210,002","231,958","231,744","230,519","241,758","233,837"
E02001439,"170,541","167,829","173,976","177,331","185,090","188,831","190,355","201,295","205,886","199,505","198,984","194,528","197,243"
E02001440,"253,986","275,425","290,066","283,856","285,649","268,429","257,621","278,564","290,009","295,699","311,591","315,927","314,144"
E02001441,"430,084","414,207","444,333","455,602","473,290","488,171","507,005","462,395","438,963","444,875","443,494","463,868","491,929"
E02001442,"298,243","289,813","274,865","258,240","259,159","266,937","262,466","301,370","308,173","333,530","342,257","326,047","343,101"
E02001443,"313,644","303,653","344,985","345,592","341,767","350,787","344,523","371,880","367,598","363,234","365,883","356,895","359,821"
E02001444,"235,143","233,982","230,058","212,719","212,974","222,128","232,600","253,218","261,561","257,238","259,568","264,436","266,856"
E02001445,"216,174","216,435","205,711","202,034","205,082","204,670","221,977","241,411","245,404","247,797","246,377","233,765","231,765"
E02001446,"190,440","192,694","194,195","194,378","197,957","196,159","199,640","208,413","217,451","217,252","221,567","220,939","221,664"
E02001447,"210,009","222,731","231,578","233,112","221,457","215,770","221,069","225,535","237,101","238,563","241,552","234,302","232,813"
E02001448,"230,343","229,736","223,313","215,273","208,822","207,494","210,565","221,954","222,274","218,933","221,524","215,547","219,139"
E02001449,"235,677","252,742","263,386","265,891","265,716","259,628","254,122","274,506","281,283","288,938","291,091","279,843","271,092"
E02001450,"321,990","328,201","330,125","368,319","346,561","326,065","330,807","305,494","320,312","360,854","350,426","346,005","352,349"
E02001451,"103,091","102,044","100,519","98,933","95,934","91,830","93,550","95,753","96,806","107,468","108,796","109,595","110,184"
E02001452,"117,415","111,682","111,420","118,395","118,538","120,591","115,286","109,800","115,507","127,867","144,778","149,331","160,696"
E02001453,"215,044","213,881","223,189","224,319","227,409","232,598","220,923","239,048","242,778","248,397","254,250","247,892","257,687"
E02001454,"176,774","177,812","182,760","189,300","187,346","180,828","184,343","191,728","202,376","213,338","216,121","209,505","210,282"
E02001455,"149,212","149,516","154,591","153,483","155,952","153,291","161,512","165,987","167,367","176,903","180,170","180,390","186,174"
